,sellprice,symbol,selltime,qty,sl,strike,tp,buyprice,buytime,reason,pnl
0,417.15,BANKNIFTY07JAN2131300CE,2021-01-01 09:15:00,25,425.493,31300,404.6355,425.493,2021-01-01 09:16:00,SL HIT,-208.57500000000044
1,550.0,BANKNIFTY07JAN2131300PE,2021-01-01 09:15:00,25,539.0,31300,566.5,539.0,2021-01-01 09:16:00,SL HIT,-275.0
2,433.6,BANKNIFTY07JAN2131300CE,2021-01-01 09:17:00,25,442.27200000000005,31300,420.59200000000004,442.27200000000005,2021-01-01 09:19:00,SL HIT,-216.80000000000064
3,418.65,BANKNIFTY07JAN2131300PE,2021-01-01 09:17:00,25,410.277,31300,431.2095,410.277,2021-01-01 09:19:00,SL HIT,-209.32499999999976
4,440.1,BANKNIFTY07JAN2131300CE,2021-01-01 09:20:00,25,448.90200000000004,31300,426.89700000000005,426.89700000000005,2021-01-01 09:21:00,TP HIT,330.07499999999936
5,392.4,BANKNIFTY07JAN2131300PE,2021-01-01 09:20:00,25,384.55199999999996,31300,404.17199999999997,380.628,2021-01-01 09:21:00,TP HIT,294.2999999999998
6,440.9,BANKNIFTY07JAN2131300CE,2021-01-01 09:22:00,25,449.71799999999996,31300,427.673,427.673,2021-01-01 09:26:00,TP HIT,330.6749999999994
7,388.4,BANKNIFTY07JAN2131300PE,2021-01-01 09:22:00,25,380.632,31300,400.05199999999996,376.748,2021-01-01 09:26:00,TP HIT,291.29999999999967
8,396.25,BANKNIFTY07JAN2131300PE,2021-01-01 09:27:00,25,388.325,31300,408.1375,388.325,2021-01-01 09:28:00,SL HIT,-198.12500000000028
9,431.8,BANKNIFTY07JAN2131300CE,2021-01-01 09:29:00,25,440.43600000000004,31300,418.846,418.846,2021-01-01 09:30:00,TP HIT,323.8500000000002
10,376.45,BANKNIFTY07JAN2131300PE,2021-01-01 09:29:00,25,368.921,31300,387.7435,365.1565,2021-01-01 09:30:00,TP HIT,282.33749999999986
11,383.95,BANKNIFTY07JAN2131400CE,2021-01-01 09:31:00,25,391.62899999999996,31400,372.43149999999997,391.62899999999996,2021-01-01 09:36:00,SL HIT,-191.97499999999934
